,Real values,Predicted values
44143,545000,404058.8754387905
39154,650000,367456.21818060026
12807,400000,775076.1417294758
44260,249000,296925.63354692014
40648,385000,394411.692111573
52811,385000,286320.0248835342
27052,220000,145816.58671088738
628,179000,134644.63952454622
20649,235000,366551.9654580248
22982,575000,370389.735774245
51455,275000,243653.9889185697
382,255000,214899.3510343312
31920,185000,403878.20046324725
37082,219000,139133.8195322291
23293,205000,206351.16988544178
45568,645000,625762.5801943677
35950,525000,496096.36990943534
2506,1590000,936460.1924443484
6366,325000,228283.65710520837
6867,650000,759683.5216202019
3803,719000,750057.8386979687
17490,200000,146850.81147448346
23091,268000,424113.82655926456
38140,269000,207754.09542274306
45710,439000,331483.03884155117
50018,219000,204017.53257775577
34892,189000,369322.1312309478
7401,349000,346460.55434746185
20211,749000,883501.8767368932
49800,225000,254922.2172562025
20468,69000,4761.957147429523
7861,270000,350653.4899763152
13961,549000,397996.41316284117
29481,790000,649719.5093545755
42876,220000,149892.99258345622
4163,1150000,780394.0080728808
10447,550000,646076.9473182306
48502,425000,318031.1479922507
39153,650000,367456.21818060026
48628,460000,499324.0254823426
740,299000,318868.05528265
26680,519000,672378.1685694394
10094,246000,288318.035332755
853,765000,725516.6563346463
43797,219000,307099.0415764113
49943,899000,1085688.9037788946
557,895000,822405.9589968566
23762,199000,311183.18060492794
2012,469000,447354.83877562755
32438,456700,316236.19624690915
24223,725000,795494.9592445667
43090,265000,238295.98879610823
7624,235000,384818.6191672755
44065,364000,429111.5860190166
19586,650000,1079316.2665916644
45259,462000,566911.2982281882
30465,329000,300024.84031921986
29574,399000,435495.78097738646
48097,595000,443489.08312926826
7571,485000,661123.4115577496
22415,397500,374812.9335565596
42226,230000,278366.45054108824
28131,199000,76693.08139972575
46118,235000,177146.3064601657
50946,295000,293538.3989835009
23082,559000,453139.2216381652
18585,335000,159717.16990764998
38839,289000,309474.9603734837
42776,769000,369986.45792451245
46496,780000,614938.3261905164
10075,229000,303142.1270581307
42713,625000,639386.7676971207
52150,499000,631042.8181910621
3202,369000,388630.7401009964
11829,659000,916495.3884234831
13596,395000,496364.988847082
44545,259000,377794.6181492153
3838,690000,985312.1819609068
771,539000,677558.1999077869
45049,335000,414234.722334573
14455,369500,339390.99007078924
33692,240000,266722.6487051664
37885,215000,285483.42500766454
11435,649000,1222374.5827045792
46938,225000,275287.4125645778
29399,195000,138136.15617608058
858,210000,429780.25036285975
2873,185000,454297.11481094063
53136,245000,206313.34548105195
17568,249000,406498.1396233162
37638,785000,653788.9796492646
30017,1245000,1036746.9688793819
36213,175000,270501.8136902269
33193,195000,44201.53599372262
17051,329000,262556.43266946485
51536,300000,296849.48663595464
4973,1450000,1231286.6302973956
9931,553000,713656.617040071
876,680000,580066.947312287
38809,299500,314460.62506471726
38201,695000,457804.68954598403
41591,295000,393745.2781510216
4963,995000,1066650.9197516218
18805,479000,565305.5935920966
1499,269000,322595.98003503366
28904,374690,284282.3161996809
22520,499000,742680.236605311
32727,795000,722939.904044085
51709,465000,516537.7423864461
4411,239500,386523.7412257455
44280,398000,470142.6902093912
29956,649000,437415.0101676325
33194,195000,44201.53599372262
24815,425000,580272.395562202
10766,259000,250339.90101002017
6575,395000,636771.9867719493
35919,486708,470462.3257215069
50976,296000,247641.13026462513
51780,745000,613405.6832486293
7757,399000,583433.2845285756
3866,491100,294707.5718946145
35847,421900,251971.14690608784
37066,209000,155107.5391053803
2676,289000,288783.3551506643
26323,649000,501912.81300180004
430,319500,238538.81321994204
3826,289000,387281.11402818264
36570,799000,854626.3689708265
12516,775000,743433.4573730137
23867,265000,381386.4875586655
23238,135000,149271.61175272206
3717,290000,403286.65617706184
4208,424000,371710.64342998026
32896,495000,658779.7231652341
40602,229500,270936.7848952045
26380,195000,80963.35635195568
48038,449000,455052.5651272547
13700,510000,452166.8924536351
39208,299000,238229.12400537918
1855,320000,314563.51705790876
28226,349000,412688.01493948326
45369,259000,418275.6923085095
3520,220000,248451.01203340944
37060,200000,213451.50275313592
5537,275000,279037.7047151052
8865,1650000,1164334.7756768775
46147,245000,256311.99553541074
42109,249000,329986.73529485136
3536,417250,418303.7081311929
50153,265000,272017.4780337662
27932,285000,250911.4084680026
30208,165000,128265.28945267282
52682,285000,453024.4441326511
27852,485000,457452.3331208274
37964,349000,371155.45387698244
52356,399000,506709.68386103306
41928,245000,461530.15500514617
407,549000,525843.1565121685
46418,495000,219633.26857188693
43313,350000,260955.89380292932
2166,465000,745429.0039878248
20032,185000,166231.6384135965
10837,635000,551892.6150724441
32606,695000,829723.7652107051
48236,895000,563304.751615338
25020,549000,498527.47138597624
31526,399000,617373.550750896
10561,249000,194694.1473066507
49751,398000,370528.88268869603
